case_id,hh_f11,hh_f11_oth,hh_f12,hh_f19,hh_f25,hh_f26a,hh_f26b,ea_lat_mod,ea_lon_mod,Air circulation,Air conditioner,Iron,Radio,Refrigerator,Television,Washing machine,Electricity,region,reside,hh_wgt,Number of household members,Wealth index factor score for urban/rural (5 decimals),Type of place of residence,Household sample weight (6 decimals),Energy Use
101011040112,OTHER(SPECIFY),SOLAR,COLLECTED FIREWOOD,NO,,,,-9.63212966918945,33.4132690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,160.782912869,4,300109.0,2.0,160782913,0.0
101011040115,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63212966918945,33.4132690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,160.782912869,3,-109588.0,2.0,160782913,0.0
101011040159,GRASS,,COLLECTED FIREWOOD,NO,,,,-9.63212966918945,33.4132690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,160.782912869,3,4784.0,2.0,160782913,0.0
101011040165,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63212966918945,33.4132690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,160.782912869,4,-16991.0,2.0,160782913,0.0
101011040171,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63212966918945,33.4132690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,160.782912869,3,254877.0,2.0,160782913,0.0
101011040174,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.63212966918945,33.4132690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,160.782912869,3,182882.0,2.0,160782913,0.0
101011050013,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.78184986114502,33.3635101318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,71.385432453,6,4784.0,2.0,71385432,0.0
101011050019,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.78184986114502,33.3635101318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,71.385432453,4,-109588.0,2.0,71385432,0.0
101011050056,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.78184986114502,33.3635101318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,71.385432453,7,115481.0,2.0,71385432,0.0
101011050076,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.78184986114502,33.3635101318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,71.385432453,6,4784.0,2.0,71385432,0.0
101011050082,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.78184986114502,33.3635101318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,71.385432453,1,-16991.0,2.0,71385432,0.0
101011050088,BATTERY/DRY CELL(TORCH),,COLLECTED FIREWOOD,NO,,,,-9.78184986114502,33.3635101318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,North,rural,71.385432453,5,-109588.0,2.0,71385432,0.0
